,ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
606,2072.,MCA,Burn 'Em Brewing,"Michigan City, IN",American IPA,16 oz.,6.8%,N/A
607,2071.,London Homesick Ale,Oasis Texas Brewing Company,"Austin, TX",English Bitter,12 oz.,4.9%,27
608,2070.,Luchesa Lager,Oasis Texas Brewing Company,"Austin, TX",Keller Bier / Zwickel Bier,12 oz.,4.8%,35
609,2069.,Slow Ride,Oasis Texas Brewing Company,"Austin, TX",American Pale Ale (APA),12 oz.,4.8%,35
610,2068.,Imperial Pumpkin Stout,Cape Ann Brewing Company,"Gloucester, MA",Pumpkin Ale,16 oz.,9.9%,43
611,2067.,Dead-Eye DIPA,Cape Ann Brewing Company,"Gloucester, MA",American Double / Imperial IPA,16 oz.,9.0%,130
612,2066.,Fisherman's IPA,Cape Ann Brewing Company,"Gloucester, MA",American IPA,12 oz.,5.5%,64
613,2065.,Fisherman's Pils,Cape Ann Brewing Company,"Gloucester, MA",German Pilsener,12 oz.,5.4%,35
614,2064.,Fisherman's Brew,Cape Ann Brewing Company,"Gloucester, MA",American Amber / Red Ale,12 oz.,5.5%,30
615,2063.,Count Hopula (Vault Series),SanTan Brewing Company,"Chandler, AZ",American Double / Imperial IPA,16 oz.,9.1%,99
616,2062.,Noche Dulce,Borderlands Brewing Company,"Tucson, AZ",American Porter,16 oz.,7.1%,16
617,2061.,Big Blue Van,College Street Brewhouse and Pub,"Lake Havasu City, AZ",Fruit / Vegetable Beer,16 oz.,5.8%,N/A
618,2060.,Weize Guy,Joseph James Brewing Company,"Henderson, NV",Hefeweizen,12 oz.,5.0%,15
619,2059.,UFO Gingerland,Harpoon Brewery,"Boston, MA",Herbed / Spiced Beer,12 oz.,5.2%,15
620,2058.,Palate Mallet,Back East Brewing Company,"Bloomfield, CT",American Double / Imperial IPA,12 oz.,8.6%,N/A
621,2057.,Stickin' In My Rye,Champion Brewing Company,"Charlottesville, VA",Rye Beer,24 oz.,7.0%,N/A
622,2056.,Black Me Stout,Champion Brewing Company,"Charlottesville, VA",American Stout,12 oz.,6.0%,45
623,2055.,Killer Kolsch,Champion Brewing Company,"Charlottesville, VA",Kölsch,12 oz.,5.0%,22
624,2054.,Pale Alement,Burn 'Em Brewing,"Michigan City, IN",American Pale Ale (APA),16 oz,5.5%,40
625,2053.,Fear of a Brett Planet,Round Guys Brewing,"Lansdale, PA",American Pale Ale (APA),12 oz.,5.1%,N/A
626,2052.,Dankosaurus,Cedar Creek Brewery,"Seven Points, TX",American IPA,16 oz.,6.8%,70
627,2051.,Bravo Four Point,Devil's Backbone Brewing Company,"Lexington, VA",American Pale Ale (APA),12 oz.,4.4%,45
628,2050.,Cream Ale,Newburgh Brewing Company,"Newburgh, NY",Cream Ale,12 oz.,4.2%,35
629,2049.,Headless Wylie,Rivertowne Brewing Company,"Export, PA",Pumpkin Ale,12 oz.,8.0%,N/A
630,2048.,Dayman IPA,Rivertowne Brewing Company,"Export, PA",American IPA,12 oz.,5.0%,N/A
631,2047.,Tarasque,Wiseacre Brewing Company,"Memphis, TN",Saison / Farmhouse Ale,12 oz.,5.9%,N/A
632,2045.,Might As Well IPL,Golden Road Brewing,"Los Angeles, CA",American Pale Lager,16 oz.,7.2%,75
633,2044.,Captain's Daughter,Grey Sail Brewing Company,"Westerly, RI",American Double / Imperial IPA,12 oz.,8.5%,69
634,2043.,Skylight,New Republic Brewing Company,"College Station, TX",Dunkelweizen,12 oz.,5.6%,20
635,2042.,Kadigan,New Republic Brewing Company,"College Station, TX",American Blonde Ale,12 oz.,5.6%,30
636,2041.,Dammit Jim!,New Republic Brewing Company,"College Station, TX",American Amber / Red Ale,12 oz.,5.2%,50
637,2040.,Arjuna,Anthem Brewing Company,"Oklahoma City, OK",Witbier,12 oz.,6.0%,N/A
638,2039.,Uroboros,Anthem Brewing Company,"Oklahoma City, OK",American Stout,12 oz,8.5%,N/A
639,2038.,Infamous IPA,Infamous Brewing Company,"Austin, TX",American IPA,12 oz.,7.0%,75
640,2037.,The Gilded Age,Two Henrys Brewing Company,"Plant City, FL",Munich Helles Lager,12 oz.,4.5%,N/A
641,2036.,Getaway,Lift Bridge Brewing Company,"Stillwater, MN",German Pilsener,16 oz.,5.2%,30
642,2035.,Kolschtal Eddy,The Dudes' Brewing Company,"Torrance, CA",Kölsch,16 oz,5.5%,N/A
643,2034.,South Bay Session IPA,The Dudes' Brewing Company,"Torrance, CA",American IPA,16 oz.,5.0%,N/A
644,2033.,Pub Ale,Lucky Town Brewing Company,"Jackson, MS",English Dark Mild Ale,12 oz.,3.8%,18
645,2032.,Ballistic Blonde,Lucky Town Brewing Company,"Jackson, MS",Belgian Pale Ale,12 oz.,5.1%,31
646,2031.,Golden Fleece,Quest Brewing Company,"Greenville, SC",Belgian Pale Ale,12 oz.,4.5%,35
647,2030.,Smoking Mirror,Quest Brewing Company,"Greenville, SC",American Porter,12 oz.,5.5%,30
648,2029.,Tropicalia,Creature Comforts,"Athens, GA",American IPA,12 oz.,6.5%,65
649,2028.,Athena,Creature Comforts,"Athens, GA",Berliner Weissbier,12 oz,4.5%,N/A
650,2027.,Hyzer Flip,Fiddlehead Brewing Company,"Shelburne, VT",American Double / Imperial IPA,16 oz.,8.2%,N/A
651,2026.,Pursuit,Half Full Brewery,"Stamford, CT",American IPA,12 oz,7.0%,40
652,2025.,Vertex IPA,Destihl Brewery,"Bloomington, IL",American IPA,12 oz.,6.3%,76
653,2024.,Montauk Light,Southampton Publick House,"Southampton, NY",Light Lager,12 oz.,3.5%,N/A
654,2023.,Pepper in the Rye,Brewery Vivant,"Grand Rapids, MI",Rye Beer,16 oz,6.3%,N/A
655,2022.,Winter White,Bell's Brewery,"Kalamazoo, MI",Witbier,16 oz.,5.0%,N/A
656,2021.,Here Gose Nothin',Destihl Brewery,"Bloomington, IL",Gose,12 oz.,5.0%,12
657,2019.,Enlighten,Chapman's Brewing,"Angola, IN",Kölsch,16 oz.,4.5%,N/A
658,2018.,Ale Cider,Chapman's Brewing,"Angola, IN",Fruit / Vegetable Beer,16 oz.,6.5%,8
659,2017.,Pail Ale,Chapman's Brewing,"Angola, IN",American Pale Ale (APA),16 oz.,5.5%,30
660,2016.,Englishman,Chapman's Brewing,"Angola, IN",English Brown Ale,16 oz.,4.5%,N/A
661,2015.,Strawberry Blonde,Destihl Brewery,"Bloomington, IL",Fruit / Vegetable Beer,12 oz,5.0%,N/A
662,2014.,Operation Homefront,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz,6.2%,65
663,2013.,Wandering Pelican,Cigar City Brewing Company,"Tampa, FL",American Black Ale,12 oz.,8.2%,65
664,2012.,Sugar Plum,Cigar City Brewing Company,"Tampa, FL",American Brown Ale,12 oz.,5.5%,N/A
665,2011.,Oktoberfest,Cigar City Brewing Company,"Tampa, FL",Märzen / Oktoberfest,12 oz.,5.5%,N/A
666,2010.,Puppy's Breath Porter,Cigar City Brewing Company,"Tampa, FL",American Porter,12 oz,6.0%,N/A
667,2009.,Happening Now,Cigar City Brewing Company,"Tampa, FL",American IPA,12 & 16 oz.,4.5%,N/A
668,2008.,Element 29,Epic Brewing,"Denver, CO",American Pale Ale (APA),12 oz.,5.2%,N/A
669,2007.,Norm's Gateway IPA,Griffin Claw Brewing Company,"Birmingham, MI",American IPA,12 oz.,4.0%,55
670,2006.,Moe Lasses',Brewery Vivant,"Grand Rapids, MI",American Stout,16 oz,6.4%,N/A
671,2005.,Barrio Blanco,Barrio Brewing Company,"Tucson, AZ",American IPA,12 oz.,6.0%,60
672,2004.,Hop Syndrome,Epic Brewing,"Denver, CO",American Pale Lager,12 oz.,5.0%,N/A
673,2003.,Escape to Colorado,Epic Brewing,"Denver, CO",American IPA,12 oz,6.2%,N/A
674,2002.,Giant DIPA,Santa Cruz Mountain Brewing,"Santa Cruz, CA",American Double / Imperial IPA,16 oz.,8.9%,88
675,2001.,Fistful Of Hops Red,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,6.4%,75
676,2000.,Fistful of Hops Orange,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz,6.3%,75
677,1999.,Fistful Of Hops Blue,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz,6.4%,75
678,1998.,Old Detroit,Frankenmuth Brewery,"Frankenmuth, MI",American Amber / Red Ale,12 oz,5.6%,N/A
679,1997.,Pumpkin Tart,Brewery Vivant,"Grand Rapids, MI",Fruit / Vegetable Beer,16 oz.,7.0%,N/A
680,1996.,Fistful of Hops Green,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,6.4%,75
681,1995.,Oktoberfest,SanTan Brewing Company,"Chandler, AZ",Märzen / Oktoberfest,12 oz.,5.5%,N/A
682,1994.,The Great Pumpcan,Madtree Brewing Company,"Cincinnati, OH",Fruit / Vegetable Beer,16 oz.,7.9%,18
683,1993.,Panther,Rhinegeist Brewery,"Cincinnati, OH",American Porter,12 oz.,5.8%,35
684,1992.,Franz,Rhinegeist Brewery,"Cincinnati, OH",Märzen / Oktoberfest,12 oz.,5.2%,21
685,1990.,Cherry Ale,Great Crescent Brewery,"Aurora, IN",Fruit / Vegetable Beer,16 oz.,5.7%,18
686,1989.,Oberon,Bell's Brewery,"Kalamazoo, MI",American Pale Wheat Ale,16 oz.,5.8%,N/A
687,1988.,Two Hearted,Bell's Brewery,"Kalamazoo, MI",American IPA,16 oz.,7.0%,N/A
688,1987.,Shift,New Belgium Brewing Company,"Fort Collins, CO",American Pale Lager,12 oz.,5.0%,29
689,1986.,Bushwhacker Cider,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz,6.9%,N/A
690,1985.,Weim-R-Iner,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz.,6.9%,N/A
691,1984.,Cherry Bomb,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz.,6.9%,N/A
692,1983.,Brontide,Stillwater Artisanal Ales,"Baltimore, MD",American Black Ale,12 oz.,5.0%,N/A
693,1982.,Greenwood Beach,Temperance Beer Company,"Evanston, IL",Fruit / Vegetable Beer,12 oz.,4.0%,N/A
694,1981.,Hardcore Chimera,Finch's Beer Company,"Chicago, IL",American Double / Imperial IPA,16 oz.,9.0%,N/A
695,1980.,Troll Destroyer,18th Street Brewery,"Gary, IN",Belgian IPA,12 oz.,8.5%,N/A
696,1979.,Bitter Bitch,18th Street Brewery,"Gary, IN",American Pale Ale (APA),12 oz,6.1%,60
697,1978.,1554 Black Lager,New Belgium Brewing Company,"Fort Collins, CO",Euro Dark Lager,12 oz,5.6%,21
698,1977.,Undertaker,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,6.7%,N/A
699,1976.,Undertaker (2014),Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,6.7%,N/A
700,1975.,Blue Paddle,New Belgium Brewing Company,"Fort Collins, CO",Czech Pilsener,12 oz.,4.8%,N/A
701,1974.,Coq D'Or,Brewery Vivant,"Grand Rapids, MI",Belgian Pale Ale,16 oz.,5.0%,N/A
702,1973.,North French,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,6.0%,N/A
703,1972.,LuckenBock,South Austin Brewery,"South Austin, TX",Bock,16 oz.,7.0%,18
704,1971.,Texas Pale Ale (TPA),South Austin Brewery,"South Austin, TX",American IPA,16 oz.,5.5%,40
705,1970.,6 String Saison,South Austin Brewery,"South Austin, TX",Saison / Farmhouse Ale,16 oz.,8.0%,N/A
706,1969.,Kol' Beer,South Austin Brewery,"South Austin, TX",Kölsch,16 oz.,5.0%,22
707,1968.,FMB 101,Figueroa Mountain Brewing Company,"Buellton, CA",Kölsch,12 oz.,4.8%,20
708,1967.,General George Patton Pilsner,Evil Czech Brewery,"Mishawaka, IN",Czech Pilsener,16 oz.,5.4%,48
709,1966.,Wagon Party,Bauhaus Brew Labs,"Minneapolis, MN",California Common / Steam Beer,12 oz.,5.4%,55
710,1965.,Sky-Five,Bauhaus Brew Labs,"Minneapolis, MN",American IPA,12 oz. ,6.7%,70
711,1964.,Stargrazer,Bauhaus Brew Labs,"Minneapolis, MN",Schwarzbier,12 oz.,5.0%,28
712,1963.,Wonderstuff,Bauhaus Brew Labs,"Minneapolis, MN",German Pilsener,12 oz.,5.4%,48
713,1962.,Sensi Harvest,Sixpoint Craft Ales,"Brooklyn, NY",American Pale Ale (APA),12 oz. ,4.7%,50
714,1961.,Ozark American Pale Ale,Ozark Beer Company,"Rogers, AR",American Pale Ale (APA),12 oz.,4.0%,39
715,1960.,Saison Pamplemousse,Golden Road Brewing,"Los Angeles, CA",Saison / Farmhouse Ale,12 oz.,5.8%,35
716,1959.,Agent a Deux,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz,6.5%,N/A
717,1958.,Belgian Wit,Brewery Vivant,"Grand Rapids, MI",Witbier,16 oz.,4.5%,N/A
718,1957.,805 Blonde Ale,Firestone Walker Brewing Company,"Paso Robles, CA",American Blonde Ale,12 oz,4.7%,N/A
719,1956.,Farmer's Daughter Wheat,People's Brewing Company,"Lafayette, IN",American Pale Wheat Ale,12 oz.,4.2%,N/A
720,1955.,Best Brown,Bell's Brewery,"Kalamazoo, MI",American Brown Ale,16 oz.,5.8%,N/A
721,1954.,Ghost Ship White IPA,Capital Brewery,"Middleton, WI",American IPA,12 oz.,5.6%,55
722,1953.,Honey Lav,Blackrocks Brewery,"Marquette, MI",American Pale Wheat Ale,12 oz.,5.2%,N/A
723,1952.,Train Wreck,Mountain Town Brewing Company ,"Mount Pleasant, MI",American Amber / Red Ale,16 oz,8.2%,N/A
724,1951.,Upland Wheat Ale,Upland Brewing Company,"Bloomington, IN",Witbier,16 oz.,4.5%,15
725,1950.,Dragonfly IPA,Upland Brewing Company,"Bloomington, IN",American IPA,16 oz.,6.0%,N/A
726,1949.,Pothole Stout,Brewery Vivant,"Grand Rapids, MI",American Stout,16 oz.,6.3%,N/A
727,1948.,30 Min Coma,Sun King Brewing Company,"Indianapolis, IN",Belgian IPA,16 oz,???,N/A
728,1947.,Tree Bucket,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,9.3%,N/A
729,1946.,Overgrown American Pale Ale,Otter Creek Brewing,"Waterbury, VT",American Pale Ale (APA),12 oz.,5.5%,55
730,1945.,Birdhouse Pale Ale,The Brewer's Art,"Baltimore, MD",Belgian Pale Ale,12 oz.,5.0%,N/A
731,1944.,Incredible Pedal IPA,Denver Beer Company,"Denver, CO",American IPA,12 oz. ,7.0%,N/A
732,1943.,Graham Cracker Porter,Denver Beer Company,"Denver, CO",American Porter,12 oz. ,5.0%,N/A
733,1942.,Rudie Session IPA,Ska Brewing Company,"Durango, CO",American IPA,12 oz.,4.5%,N/A
734,1941.,Monkey Chased the Weasel,Carton Brewing Company,"Atlantic Highlands, NJ",Berliner Weissbier,16 oz.,3.9%,9
735,1940.,077XX,Carton Brewing Company,"Atlantic Highlands, NJ",American Double / Imperial IPA,16 oz.,7.8%,80
736,1939.,Gatecrasher,Temperance Beer Company,"Evanston, IL",English India Pale Ale (IPA),12 oz.,6.6%,N/A
737,1938.,Almanac IPA,Tractor Brewing Company,"Albuquerque, NM",American IPA,12 oz.,6.2%,72
738,1937.,Milk Mustachio Stout,Tractor Brewing Company,"Albuquerque, NM",Milk / Sweet Stout,12 oz.,6.5%,N/A
739,1936.,Farmer's Tan Red Ale,Tractor Brewing Company,"Albuquerque, NM",American Amber / Red Ale,12 oz.,6.0%,30
740,1935.,Zen,Rhinegeist Brewery,"Cincinnati, OH",American Pale Ale (APA),12 oz. ,4.3%,45
741,1934.,SunSpot Golden Ale,SanTan Brewing Company,"Chandler, AZ",American Blonde Ale,12 oz.,5.0%,15
742,1933.,Missile IPA,Champion Brewing Company,"Charlottesville, VA",American IPA,12 oz.,7.0%,65
743,1932.,Thai Style White IPA,Upslope Brewing Company,"Boulder, CO",American White IPA,12 oz. ,6.5%,33
744,1931.,Fresh Cut Pilsner,Peak Organic Brewing Company,"Portland, ME",American Pilsner,12 oz. ,4.6%,N/A
745,1930.,Summer Session Ale,Peak Organic Brewing Company,"Portland, ME",American Pale Wheat Ale,12 oz. ,5.0%,61
746,1929.,Second Fiddle,Fiddlehead Brewing Company,"Shelburne, VT",American Double / Imperial IPA,16 oz.,8.2%,80
747,1928.,Cape Cod Red,Cape Cod Beer,"Hyannis, MA",American Amber / Red Ale,16 oz.,5.5%,35
748,1927.,Beach Blonde,Cape Cod Beer,"Hyannis, MA",American Blonde Ale,16 oz.,4.9%,10
749,1926.,Long Trail IPA,Long Trail Brewing Company,"Bridgewater Corners, VT",English India Pale Ale (IPA),12 oz. ,5.9%,42
750,1925.,Trader Session IPA,Uinta Brewing Company,"Salt Lake City, UT",American IPA,12 oz.,4.0%,42
751,1924.,Long Trail Ale,Long Trail Brewing Company,"Bridgewater Corners, VT",American Amber / Red Ale,12 oz. ,4.6%,30
752,1923.,Commotion APA,Great Raft Brewing Company,"Shreveport, LA",American Pale Ale (APA),12 oz.,5.2%,49
753,1922.,Southern Drawl Pale Lager,Great Raft Brewing Company,"Shreveport, LA",American Pale Lager,12 oz.,5.2%,N/A
754,1921.,Freeride APA,Alaskan Brewing Company,"Juneau, AK",American Pale Ale (APA),12 oz.,5.3%,40
755,1920.,Alaskan Amber,Alaskan Brewing Company,"Juneau, AK",Altbier,12 oz. ,5.3%,18
756,1919.,Yonder Bock,Sierra Nevada Brewing Company,"Chico, CA",Maibock / Helles Bock,12 oz. ,6.0%,N/A
757,1918.,CANfusion Rye Bock,Sierra Nevada Brewing Company,"Chico, CA",Rye Beer,12 oz.,6.0%,N/A
758,1917.,Left of the Dial IPA,Notch Brewing Company,"Ipswich, MA",American IPA,12 oz. ,4.3%,N/A
759,1916.,Petit Mutant,The Alchemist,"Waterbury, VT",American Wild Ale,16 oz.,6.0%,N/A
760,1915.,The Crusher,The Alchemist,"Waterbury, VT",American Double / Imperial IPA,16 oz.,9.6%,N/A
761,1914.,Beelzebub,The Alchemist,"Waterbury, VT",American Double / Imperial Stout,16 oz.,8.0%,N/A
762,1913.,Hydraulion Red,Three Notch'd Brewing Company,"Charlottesville, VA",Irish Red Ale,12 oz.,5.3%,22
763,1912.,40 Mile IPA,Three Notch'd Brewing Company,"Charlottesville, VA",American IPA,12 oz.,6.0%,50
764,1911.,Suicide Squeeze IPA,Fort George Brewery,"Astoria, OR",American IPA,16 oz.,4.5%,N/A
765,1910.,Lake House,Capital Brewery,"Middleton, WI",Munich Helles Lager,16 oz.,4.6%,18
766,1909.,Big Chuck Barleywine,Portside Brewery,"Cleveland, OH",American Barleywine,12 oz. ,9.9%,N/A
767,1908.,Fresh Slice White IPA,Otter Creek Brewing,"Middlebury, VT",American White IPA,12 oz.,5.5%,45
768,1907.,Montauk Summer Ale,Montauk Brewing Company,"Montauk, NY",American Blonde Ale,12 oz.,5.6%,28
769,1906.,Driftwood Ale,Montauk Brewing Company,"Montauk, NY",Extra Special / Strong Bitter (ESB),12 oz.,6.0%,49
770,1905.,Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,"Chico, CA",American Pale Ale (APA),16 oz.,5.6%,37
771,1904.,White Rabbit ,Independence Brewing Company,"Austin, TX",Witbier,12 oz.,5.9%,27
772,1903.,Let It Ride IPA,Indeed Brewing Company,"Minneapolis, MN",American IPA,12 oz. ,6.8%,90
773,1902.,14° ESB ,Bent Paddle Brewing Company,"Duluth, MN",Extra Special / Strong Bitter (ESB),12 oz.,5.6%,32
774,1901.,Bent Hop Golden IPA,Bent Paddle Brewing Company,"Duluth, MN",American IPA,12 oz.,6.2%,68
775,1900.,Lost Sailor IPA,Berkshire Brewing Company,"South Deerfield, MA",English India Pale Ale (IPA),12 oz.,5.5%,40
776,1899.,La Ferme Urbaine Farmhouse Ale,Foolproof Brewing Company,"Pawtucket, RI",Saison / Farmhouse Ale,12 oz.,7.8%,N/A
777,1898.,Blackmarket Rye IPA,Black Market Brewing Company,"Temecula, CA",American IPA,12 oz. ,7.5%,35
778,1897.,Black Market Hefeweizen,Black Market Brewing Company,"Temecula, CA",Hefeweizen,12 oz.,5.0%,8
779,1896.,Aftermath Pale Ale,Black Market Brewing Company,"Temecula, CA",American Pale Ale (APA),12 oz.,5.8%,44
780,1895.,Groupe G,Headlands Brewing Company,"Mill Valley, CA",Belgian IPA,16 oz.,7.6%,65
781,1894.,Pt. Bonita Rustic Lager,Headlands Brewing Company,"Mill Valley, CA",American Pale Lager,16 oz.,6.2%,40
782,1893.,Hill 88 Double IPA,Headlands Brewing Company,"Mill Valley, CA",American Double / Imperial IPA,16 oz.,8.8%,77
783,1891.,Longhop IPA,Bolero Snort Brewery,"Ridgefield Park, NJ",American IPA,16 oz.,4.2%,30
784,1890.,Lucky Buck,Bolero Snort Brewery,"Ridgefield Park, NJ",Irish Dry Stout,16 oz.,4.0%,34
785,1889.,Leatherhead Red,Thunderhead Brewing Company,"Kearney, NE",American Amber / Red Ale,12 oz. ,5.2%,N/A
786,1888.,Hoperation Overload,Destihl Brewery,"Bloomington, IL",American Double / Imperial IPA,12 oz. ,9.6%,85
787,1887.,Abbey's Single Ale (Current),Destihl Brewery,"Bloomington, IL",Abbey Single Ale,12 oz.,4.9%,22
788,1886.,Thrasher Session India Pale Ale,Defiance Brewing Company,"Hays, KS",American IPA,12 oz. ,4.5%,44
789,1885.,Gutch English Style Mild Ale,Defiance Brewing Company,"Hays, KS",English Pale Mild Ale,12 oz.,5.0%,16
790,1884.,Hop Freak,Milwaukee Brewing Company,"Milwaukee, WI",American Double / Imperial IPA,16 oz.,8.7%,80
791,1883.,Centennial State Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),19.2,5.2%,N/A
792,1882.,Whitecap Wit,Catawba Island Brewing,"Port Clinton, OH",Witbier,16 oz.,4.8%,16
793,1881.,Seiche Scottish Ale,Catawba Island Brewing,"Port Clinton, OH",Scottish Ale,16 oz.,7.8%,16
794,1880.,All Aboard! Anniversary Stout,Rivertowne Brewing Company,"Export, PA",Oatmeal Stout,12 oz. ,7.1%,N/A
795,1879.,Hop Lace,Rivertowne Brewing Company,"Export, PA",American White IPA,12 oz. ,6.2%,N/A
796,1878.,OH-PA Session Pale Ale,Rivertowne Brewing Company,"Export, PA",American Pale Ale (APA),12 oz.,4.8%,N/A
797,1877.,Patrick's Poison,Rivertowne Brewing Company,"Export, PA",American Amber / Red Ale,12 oz. ,8.0%,N/A
798,1876.,Truck Stop Honey Brown Ale,Back Forty Beer Company,"Gadsden, AL",English Brown Ale,12 oz.,6.0%,N/A
799,1875.,Naked Pig Pale Ale,Back Forty Beer Company,"Gadsden, AL",American Pale Ale (APA),12 oz.,6.0%,43
800,1874.,El Chingon IPA,Four Corners Brewing Company,"Dallas, TX",American IPA,12 oz.,7.6%,73
801,1873.,Block Party Robust Porter,Four Corners Brewing Company,"Dallas, TX",American Porter,12 oz. ,5.7%,40
802,1872.,Local Buzz,Four Corners Brewing Company,"Dallas, TX",American Blonde Ale,12 oz.,5.2%,20
803,1870.,Contact High,4 Hands Brewing Company,"Saint Louis, MO",American Pale Wheat Ale,12 oz.,5.0%,28
804,1868.,Saint Archer White Ale,Saint Archer Brewery,"San Diego, CA",Witbier,12 oz.,5.0%,15
805,1867.,Saint Archer IPA,Saint Archer Brewery,"San Diego, CA",American IPA,12 oz.,6.8%,66
806,1865.,Saint Archer Pale Ale,Saint Archer Brewery,"San Diego, CA",American Pale Ale (APA),12 oz.,5.2%,40
807,1864.,Saint Archer Blonde,Saint Archer Brewery,"San Diego, CA",Kölsch,12 oz.,4.8%,22
808,1861.,BLAKKR,Real Ale Brewing Company,"Blanco, TX",American Black Ale,12 oz.,9.9%,85
809,1860.,Rogue American Amber Ale,Rogue Ales,"Newport, OR",American Amber / Red Ale,16 oz.,5.1%,N/A
810,1859.,Old Chub NITRO,Oskar Blues Brewery,"Longmont, CO",Scotch Ale / Wee Heavy,16 oz.,8.0%,N/A
811,1858.,Hodad Porter,Fiddlehead Brewing Company,"Shelburne, VT",American Porter,16 oz.,5.5%,30
812,1857.,Supergoose IPA,Hale's Ales,"Seattle, WA",American IPA,12 oz.,6.9%,67
813,1856.,IPA & a Half,Tommyknocker Brewery,"Idaho Springs, CO",American IPA,12 oz.,7.3%,87
814,1855.,Tarnation California-Style Lager,Baxter Brewing Company,"Lewiston, ME",California Common / Steam Beer,12 oz.,5.3%,N/A
815,1854.,Blue Boots IPA,Northampton Brewery,"Northamtpon, MA",American IPA,16 oz.,6.9%,N/A
816,1853.,Ferus Fluxus Wild Belgian Pale Ale,Upslope Brewing Company,"Boulder, CO",American Wild Ale,19.2 oz.,7.5%,30
817,1852.,Truth,Rhinegeist Brewery,"Cincinnati, OH",American IPA,12 oz.,7.2%,75
818,1851.,Cougar,Rhinegeist Brewery,"Cincinnati, OH",American Blonde Ale,12 oz.,4.8%,25
819,1850.,American India Red Ale,Black Shirt Brewing Company,"Denver, CO",American Strong Ale,12 oz.,7.1%,83
820,1849.,American Red Porter,Black Shirt Brewing Company,"Denver, CO",American Porter,12 oz.,7.1%,45
821,1848.,American Red Saison,Black Shirt Brewing Company,"Denver, CO",Saison / Farmhouse Ale,12 oz.,7.8%,34
822,1847.,Colorado Red Ale,Black Shirt Brewing Company,"Denver, CO",American Amber / Red Ale,12 oz.,6.6%,44
823,1846.,Wachusett Light IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,4.0%,37
824,1845.,Green Monsta IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,6.0%,55
825,1844.,Wachusett IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,5.6%,50
826,1843.,Strawberry White,Wachusett Brewing Company,"Westminster, MA",Witbier,12 oz.,4.7%,N/A
827,1842.,Original Slacker Ale,Round Guys Brewing,"Lansdale, PA",English Brown Ale,12 oz.,5.6%,40
828,1841.,Alpha Blackback,Round Guys Brewing,"Lansdale, PA",American Black Ale,12 oz.,7.2%,N/A
829,1839.,Chin Music Amber Lager,Center of the Universe Brewing C...,"Ashland, VA",American Amber / Red Lager,12 oz.,4.5%,24
830,1838.,Hefe Lemon,Widmer Brothers Brewing Company,"Portland, OR",Radler,12 oz.,4.9%,30
831,1837.,Hefe Black,Widmer Brothers Brewing Company,"Portland, OR",Hefeweizen,12 oz.,4.9%,30
832,1836.,Widmer Brothers Hefeweizen,Widmer Brothers Brewing Company,"Portland, OR",Hefeweizen,12 oz.,4.9%,30
833,1835.,Provision,Hop Farm Brewing Company,"Pittsburgh, PA",Saison / Farmhouse Ale,12 oz.,4.2%,25
834,1834.,One Nut Brown,Hop Farm Brewing Company,"Pittsburgh, PA",American Brown Ale,12 oz.,4.7%,28
835,1833.,Hop Farm IPA,Hop Farm Brewing Company,"Pittsburgh, PA",American IPA,12 oz.,5.8%,45
836,1832.,Adam's Stout,Liquid Hero Brewery,"York, PA",American Stout,12 oz.,5.8%,40
837,1831.,Our Legacy IPA,Matt Brewing Company,"Utica, NY",American IPA,12 oz.,6.5%,60
838,1830.,Porch Rocker,Boston Beer Company,"Boston, MA",Radler,12 oz.,4.5%,8
839,1829.,312 Urban Wheat Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Wheat Ale,12 oz.,4.2%,18
840,1828.,Hopsmith Pale Lager,Old Forge Brewing Company,"Danville, PA",American Pale Lager,16 oz.,6.0%,N/A
841,1827.,Deep Ellum Pale Ale,Deep Ellum Brewing Company,"Dallas, TX",American Pale Ale (APA),12 oz.,6.0%,N/A
842,1826.,Squatters Full Suspension Pale Ale,Utah Brewers Cooperative,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4.0%,N/A
