,ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
1600,1045.,Wynkoop Pumpkin Ale,Wynkoop Brewing Company,"Denver, CO",Pumpkin Ale,12 oz.,5.5%,N/A
1601,1044.,Big Red Coq,Brewery Vivant,"Grand Rapids, MI",American Amber / Red Ale,16 oz.,6.0%,N/A
1602,1043.,North Fork Lager,Payette Brewing Company,"Garden City, ID",American Pale Lager,12 oz.,4.4%,N/A
1603,1042.,Atom Smasher,Two Brothers Brewing Company,"Warrenville, IL",Märzen / Oktoberfest,12 oz.,7.7%,23
1604,1041.,Testudo,Two Brothers Brewing Company,"Warrenville, IL",Bière de Garde,12 oz.,4.5%,N/A
1605,1040.,Hobnob B & B Pale Ale,Two Brothers Brewing Company,"Warrenville, IL",American Pale Ale (APA),12 oz.,6.5%,N/A
1606,1039.,Underachiever,Engine House 9,"Tacoma, WA",American Adjunct Lager,16 oz.,5.0%,N/A
1607,1038.,Wachusett Summer,Wachusett Brewing Company,"Westminster, MA",American Pale Wheat Ale,12 oz.,4.7%,N/A
1608,1037.,Bronx Pale Ale,The Bronx Brewery,"Bronx, NY",American Pale Ale (APA),16 oz.,6.3%,50
1609,1036.,Lower De Boom,21st Amendment Brewery,"San Francisco, CA",American Barleywine,8.4 oz.,9.9%,92
1610,1035.,Rocky Mountain Oyster Stout,Wynkoop Brewing Company,"Denver, CO",American Stout,12 oz.,7.5%,N/A
1611,1034.,Cabrillo Kölsch,Golden Road Brewing,"Los Angeles, CA",Kölsch,16 oz.,5.0%,N/A
1612,1033.,Hubris Quadrupel Anniversary Ale,Brewery Vivant,"Grand Rapids, MI",Quadrupel (Quad),16 oz.,9.9%,N/A
1613,1031.,Plow Horse Belgian Style Imperial Stout,Brewery Vivant,"Grand Rapids, MI",American Double / Imperial Stout,16 oz.,9.5%,N/A
1614,1030.,Country Pale Ale,Wachusett Brewing Company,"Westminster, MA",English Pale Ale,12 oz.,5.1%,17
1615,1029.,Wachusett Light IPA (2013),Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,4.0%,37
1616,1028.,Aaah Bock Lager,Great River Brewery,"Davenport, IA",Vienna Lager,16 oz.,6.0%,N/A
1617,1027.,Big Island Shandy,Tonka Beer Company,"Minnetonka, MN",Shandy,16 oz.,5.0%,N/A
1618,1026.,Preservation IPA,Tonka Beer Company,"Minnetonka, MN",American IPA,16 oz.,6.8%,N/A
1619,1025.,N Street Drive-In 50th Anniversary IPA,Blue Blood Brewing Company,"Lincoln, NE",American Double / Imperial IPA,12 oz.,???,N/A
1620,1024.,Fireside Chat,21st Amendment Brewery,"San Francisco, CA",Winter Warmer,12 oz.,7.9%,45
1621,1023.,Mistress Winter Wheat,Bonfire Brewing Company,"Eagle, CO",Winter Warmer,12 oz.,6.4%,N/A
1622,1022.,Quaff India Style Session Ale,Fearless Brewing Company,"Estacada, OR",American IPA,16 oz.,5.1%,N/A
1623,1021.,Watership Brown Ale,Red Hare Brewing Company,"Marietta, GA",American Brown Ale,12 oz.,7.2%,55
1624,1020.,3Beans,Sixpoint Craft Ales,"Brooklyn, NY",Baltic Porter,12 oz.,9.9%,85
1625,1019.,Longfin Lager,Ballast Point Brewing Company,"San Diego, CA",Munich Helles Lager,12 oz.,4.6%,N/A
1626,1018.,Sculpin IPA,Ballast Point Brewing Company,"San Diego, CA",American IPA,12 oz.,7.0%,70
1627,1017.,Ethos IPA,Tallgrass Brewing Company,"Manhattan, KS",American IPA,16 oz.,6.8%,110
1628,1016.,Orange Wheat,Hangar 24 Craft Brewery,"Redlands, CA",Fruit / Vegetable Beer,12 oz.,4.6%,17
1629,1015.,Hangar 24 Helles Lager,Hangar 24 Craft Brewery,"Redlands, CA",Munich Helles Lager,12 oz.,4.3%,14
1630,1014.,Pumpkin Patch Ale (2012),Eddyline Brewery & Restaurant,"Buena Vista, CO",Pumpkin Ale,16 oz.,5.0%,N/A
1631,1013.,Hibernal Vinifera Stout,Ska Brewing Company,"Durango, CO",Foreign / Export Stout,12 oz.,8.0%,N/A
1632,1012.,467 Ethan's Stout,Blue Blood Brewing Company,"Lincoln, NE",American Stout,12 oz.,5.0%,N/A
1633,1011.,Red Cockaded Ale (2013),Southern Star Brewing Company,"Conroe, TX",American Double / Imperial IPA,12 oz.,8.5%,110
1634,1010.,Old Potentate,Southern Star Brewing Company,"Conroe, TX",Old Ale,12 oz.,7.2%,40
1635,1009.,Tallgrass Pub Ale,Tallgrass Brewing Company,"Manhattan, KS",American Brown Ale,16 oz.,4.4%,12
1636,1008.,Macon History Ale,Macon Beer Company,"Macon, GA",American Brown Ale,12 oz.,5.5%,N/A
1637,1006.,Elevation Triple India Pale Ale,Renegade Brewing Company,"Denver, CO",American Double / Imperial IPA,12 oz.,9.9%,100
1638,1005.,5:00 O'Clock Afternoon Ale,Renegade Brewing Company,"Denver, CO",American Blonde Ale,16 oz.,5.0%,25
1639,1004.,The One They Call Zoe,Hops & Grain Brewery,"Austin, TX",American Pale Lager,12 oz.,5.1%,N/A
1640,1003.,Big Elm IPA,Big Elm Brewing,"Sheffield, MA",American IPA,12 oz.,7.0%,N/A
1641,1002.,Gerry Dog Stout,Big Elm Brewing,"Sheffield, MA",American Stout,12 oz.,6.5%,N/A
1642,1001.,413 Farmhouse Ale,Big Elm Brewing,"Sheffield, MA",Saison / Farmhouse Ale,12 oz.,6.0%,N/A
1643,1000.,Good People Pale Ale,Good People Brewing Company,"Birmingham, AL",American Pale Ale (APA),12 oz.,5.6%,36
1644,999.,Watershed IPA (2013),Oakshire Brewing,"Eugene, OR",American IPA,12 oz.,6.7%,70
1645,998.,Tent Pole Vanilla Porter,Bonfire Brewing Company,"Eagle, CO",American Porter,16 oz.,6.1%,N/A
1646,997.,Awry Rye Pale Ale,Bonfire Brewing Company,"Eagle, CO",American Pale Ale (APA),12 oz.,5.8%,N/A
1647,996.,Demshitz Brown Ale,Bonfire Brewing Company,"Eagle, CO",American Brown Ale,12 oz.,5.8%,N/A
1648,995.,Winterfest,Sockeye Brewing Company,"Boise, ID",American Strong Ale,16 oz.,8.4%,90
1649,994.,Abominable Ale,Fremont Brewing Company,"Seattle, WA",English Strong Ale,12 oz.,8.0%,N/A
1650,993.,oSKAr the G'Rauch,Oskar Blues Brewery,"Longmont, CO",American IPA,19.2 oz.,8.5%,N/A
1651,992.,oSKAr the G'Rauch,Oskar Blues Brewery,"Longmont, CO",American IPA,16 oz.,8.5%,N/A
1652,991.,Get Up Offa That Brown,Golden Road Brewing,"Los Angeles, CA",American Brown Ale,16 oz.,5.5%,20
1653,990.,Loose Cannon,Heavy Seas Beer,"Halethorpe, MD",American IPA,12 oz.,7.2%,45
1654,989.,AARGHtoberfest!,Heavy Seas Beer,"Halethorpe, MD",Märzen / Oktoberfest,12 oz.,6.0%,30
1655,988.,Davy Jones Lager,Heavy Seas Beer,"Halethorpe, MD",Cream Ale,12 oz.,6.0%,N/A
1656,986.,Morning Wood,Big Wood Brewery,"Vadnais Heights, MN",Oatmeal Stout,16 oz.,5.5%,35
1657,985.,Bark Bite IPA,Big Wood Brewery,"Vadnais Heights, MN",American IPA,16 oz.,6.6%,50
1658,984.,Leaning Chimney Smoked Porter,Grey Sail Brewing of Rhode Island,"Westerly, RI",American Porter,16 oz.,6.0%,34
1659,983.,Backyahd IPA,Foolproof Brewing Company,"Pawtucket, RI",American IPA,12 oz.,6.0%,N/A
1660,982.,Raincloud Robust Porter,Foolproof Brewing Company,"Pawtucket, RI",American Porter,12 oz.,6.5%,N/A
1661,981.,Barstool American Golden Ale,Foolproof Brewing Company,"Pawtucket, RI",American Blonde Ale,12 oz.,4.5%,N/A
1662,980.,Bitter Bitch Imperial IPA,Astoria Brewing Company,"Astoria, OR",American Double / Imperial IPA,12 oz.,8.2%,138
1663,979.,Poop Deck Porter,Astoria Brewing Company,"Astoria, OR",American Porter,12 oz.,6.2%,35
1664,978.,Old Red Beard Amber Ale,Astoria Brewing Company,"Astoria, OR",American Amber / Red Ale,12 oz.,6.0%,35
1665,977.,Orignal Blend,Downeast Cider House,"Leominster, MA",Cider,12 oz.,5.1%,N/A
1666,976.,Marooned On Hog Island,21st Amendment Brewery,"San Francisco, CA",American Stout,12 oz.,7.9%,N/A
1667,975.,Shipyard Summer Ale,Shipyard Brewing Company,"Portland, ME",American Pale Wheat Ale,12 oz.,5.1%,N/A
1668,974.,WYLD Extra Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4.0%,29
1669,973.,Face Down Brown Ale,Telluride Brewing Company,"Telluride, CO",American Brown Ale,12 oz.,5.7%,N/A
1670,972.,Rude Parrot IPA,7 Seas Brewing Company,"Gig Harbor, WA",American IPA,16 oz.,5.9%,75
1671,971.,Phat Chance,Wild Onion Brewing Company,"Lake Barrington, IL",American Blonde Ale,12 oz.,5.2%,27
1672,970.,Des Moines IPA,Confluence Brewing Company,"Des Moines, IA",American IPA,16 oz.,6.8%,75
1673,969.,Capital Gold Golden Lager,Confluence Brewing Company,"Des Moines, IA",German Pilsener,16 oz.,4.8%,22
1674,968.,Farmer John's Multi-Grain Ale,Confluence Brewing Company,"Des Moines, IA",American Blonde Ale,16 oz.,5.6%,21
1675,967.,Black IPA,Santa Fe Brewing Company,"Santa Fe, NM",American Black Ale,12 oz.,7.1%,95
1676,966.,Topcutter India Pale Ale,Bale Breaker Brewing Company,"Yakima, WA",American IPA,12 oz.,6.8%,70
1677,965.,Field 41 Pale Ale,Bale Breaker Brewing Company,"Yakima, WA",American Pale Ale (APA),12 oz.,4.4%,38
1678,964.,Dank IPA (2012),Dad & Dude's Breweria,"Aurora, CO",American IPA,16 oz.,6.5%,N/A
1679,963.,Manhattan Gold Lager (1990),The Manhattan Brewing Company,"New York, NY",American Amber / Red Lager,12 oz.,???,N/A
1680,962.,Mac's Highlander Pale Ale (2000),MacTarnahans Brewing Company,"Portland, OR",American Pale Ale (APA),12 oz.,5.0%,N/A
1681,961.,Mac's Scottish Style Amber Ale (2000),MacTarnahans Brewing Company,"Portland, OR",American Amber / Red Ale,12 oz.,5.1%,32
1682,960.,Saranac Golden Pilsener (2003),Matt Brewing Company,"Utica, NY",German Pilsener,12 oz.,5.1%,N/A
1683,959.,Saranac Adirondack Light (2002),Matt Brewing Company,"Utica, NY",Light Lager,12 oz.,4.5%,N/A
1684,958.,DAX Light (1998),Matt Brewing Company,"Utica, NY",Light Lager,12 oz.,4.5%,N/A
1685,957.,Saranac Traditional Lager (2000),Matt Brewing Company,"Utica, NY",American Pale Lager,12 oz.,4.8%,N/A
1686,956.,Pomegranate Wheat (2008),Matt Brewing Company,"Utica, NY",Fruit / Vegetable Beer,12 oz.,4.7%,N/A
1687,955.,Dale's Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),19.2 oz.,6.5%,65
1688,954.,Phantom Punch Winter Stout,Baxter Brewing Company,"Lewiston, ME",Foreign / Export Stout,12 oz.,6.8%,N/A
1689,953.,Wisco Disco,Stillmank Beer Company,"Green Bay, WI",American Amber / Red Ale,16 oz.,5.1%,31
1690,952.,Shift (1),New Belgium Brewing Company,"Fort Collins, CO",American Pale Lager,12 oz.,5.0%,29
1691,951.,Alloy,Tin Man Brewing Company,"Evansville, IN",American IPA,16 oz.,5.8%,36
1692,950.,Rivet Irish Red Ale,Tin Man Brewing Company,"Evansville, IN",Irish Red Ale,16 oz.,5.1%,22
1693,949.,3 Gear Robust Porter,Tin Man Brewing Company,"Evansville, IN",American Porter,16 oz.,5.2%,50
1694,948.,Circuit Bohemian Pilsner,Tin Man Brewing Company,"Evansville, IN",Czech Pilsener,16 oz.,4.5%,35
1695,947.,Twister Creek India Pale Ale,Denali Brewing Company,"Talkeetna, AK",American IPA,12 oz.,6.5%,71
1696,946.,Dallas Blonde,Deep Ellum Brewing Company,"Dallas, TX",American Blonde Ale,12 oz.,5.2%,23
1697,945.,Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,16 oz.,6.5%,44
1698,944.,Dock Street Amber Beer (1992),Dock Street Brewery,"Philadelphia, PA",American Amber / Red Ale,12 oz.,???,N/A
1699,943.,Deep Ellum IPA,Deep Ellum Brewing Company,"Dallas, TX",American IPA,12 oz.,7.0%,70
1700,942.,1335 Wicked Snout,Blue Blood Brewing Company,"Lincoln, NE",Saison / Farmhouse Ale,12 oz.,6.4%,N/A
1701,941.,Secret Stache Stout,Finch's Beer Company,"Chicago, IL",American Stout,16 oz.,5.3%,N/A
1702,940.,Boohai Red Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,???,N/A
1703,939.,Toxic Sludge,Blue Point Brewing Company,"Patchogue, NY",American Black Ale,16 oz.,7.0%,N/A
1704,938.,Gangway IPA,Red Hare Brewing Company,"Marietta, GA",American IPA,12 oz.,6.2%,55
